title,link,address,company,short_description,rich_description,salary,skils
Junior QA Engineer/intern,https://hh.ru/vacancy/131982661?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Баку,Itransition Software Georgia LLC,Are you a student or graduate passionate about tech? English proficiency of B1 or higher.,,,
Тестировщик ПО (стажер),https://hh.ru/vacancy/131917086?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Астана, улица Достык, 5",ТОО Талисман качества,Английский на уровне B1 или выше. Отправь свое резюме на английском языке с указанием местоположения и уровня владения английским.,,,
Тестировщик,https://hh.ru/vacancy/127750395?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Ташкент, улица Муминова, 4/4",ООО UNITEL LLC,Опыт работы от 1 года в тестировании мобильных приложений. Знание теории тестирования и жизненного цикла ПО. Опыт тестирования API (Swagger...,,,
Тестировщик,https://hh.ru/vacancy/131987041?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,АО Азиатско-Тихоокеанский Банк,Опыт участия в проектах по разработке ПО в качестве,,,
Тестировщик,https://hh.ru/vacancy/131982533?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,деревня Румянцево,Everia Life,Образование: Высшее образование. Опыт работы в ручном тестировании от 2 лет. Понимание SDLC и STLC. Уверенные знания видов тестирования и...,,,
Тестировщик,https://hh.ru/vacancy/131978345?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Казань,Т1 Иннотех,"Понимание устройства веб-приложения, серверной части, сервисов и их взаимодействия. Опыт функционального, регрессионного и интеграционного тестирования. Умение читать логи приложений.",,,
Тестировщик,https://hh.ru/vacancy/131977283?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Нижний Новгород,"Нек. орг. Налог-Сервис ФНС России, ФКУ Филиал в Нижегородской области",Среднее специальное образование. Знание основных методик тестирования; опыт работы в сфере тестирования ПО; опыт работы с продуктами автоматизации тестирования.,,"от 52 750 ₽ за месяц, до вычета налогов",
Тестировщик игр,https://hh.ru/vacancy/131999450?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Кибер Плюс,"Иметь игровой опыт и понимание игровых механик. Быть на связи в рабочее время (Телеграмм, Discord). Внимательность к деталям.",,"70 000 – 80 000 ₽ за месяц, на руки",
Ассистент тестировщика,https://hh.ru/vacancy/131392963?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Кировский",ИП Долганов Роман Алексеевич,Ответственный подход к работе. Умение и желание обучаться новому.,,,
Тестировщик Naimus.Ai,https://hh.ru/vacancy/131997322?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО АЙФЭЛЛ,"Базовые знания: Разработка и поддержка тест-кейсов, чек-листов, тест-планов. Активное использование техник тест-дизайна для покрытия функциональности.",,"до 160 000 ₽ за месяц, на руки",
QA тестировщик,https://hh.ru/vacancy/131990446?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Алматы,АО Народный банк Казахстана. IT,"Опыт написания тестовых сценариев и тест-кейсов. Знание процессов тестирования и QA (включая тестирование функциональности, регрессионное тестирование, интеграционное тестирование и...",,,
Тестировщик 1С,https://hh.ru/vacancy/130654090?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Скандрайв,Опыт тестирования систем 1С от двух лет. Разработка и запуск автотестов на Vanessa от года. Ручное тестирование задач.,,"от 130 000 ₽ за месяц, до вычета налогов",
Тестировщик-автоматизатор,https://hh.ru/vacancy/131465543?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Воронеж,ProSpace,Опыт в тестировании от 3 лет. Практический опыт написания автотестов. Умение разбираться в логике системы. Готовность использовать AI-инструменты в...,,,
